title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,address_line2,service_type,nso_office_id,nso_office_number,is_foreign,officer,status,last_verified
DAV NSO Office - Anchorage,dav-nso-ak-2,service-office-nso,DAV,dav,DAV,world-war-1,World War I,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,VA Regional Office,Anchorage,99504,61.21122,-149.82718,true,907-257-4803,,,,,,,,"1201 N Muldoon Rd, Room 2A210",national-service-officer,2,A2,false,,,
DAV NSO Office - Montgomery,dav-nso-al-1,service-office-nso,DAV,dav,DAV,world-war-1,World War I,AL,alabama,Montgomery County,montgomery-county,al_01101,VA Regional Office,Montgomery,36109,32.37566,-86.24636,true,334-213-3365,,,,,,,,"345 Perry Hill Rd, Rm 1-116",national-service-officer,1,A0,false,,,
DAV NSO Office - N. Little Rock,dav-nso-ar-4,service-office-nso,DAV,dav,DAV,world-war-1,World War I,AR,arkansas,,,,VA Regional Office,N. Little Rock,72114,34.778656,-92.29748,true,501-370-3838,,,,,,,,"2200 Fort Roots Drive, (VAMC)",national-service-officer,4,A6,false,,,
DAV NSO Office - Phoenix,dav-nso-az-3,service-office-nso,DAV,dav,DAV,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,VA Regional Office,Phoenix,85012,33.48634,-112.07371,true,602-627-3286,,,,,,,,"3333 N. Central Ave., Ste 1053",national-service-officer,3,A3,false,,,
DAV NSO Office - Los Angeles,dav-nso-ca-5,service-office-nso,DAV,dav,DAV,world-war-1,World War I,CA,california,Los Angeles County,los-angeles-county,ca_06037,DAV Federal Building,Los Angeles,90024,34.056667,-118.448814,true,310-235-6472,,,,,,,,"11000 Wilshire Blvd., Rm. 509",national-service-officer,5,B0,false,,,
DAV NSO Office - Oakland,dav-nso-ca-7,service-office-nso,DAV,dav,DAV,world-war-1,World War I,CA,california,Alameda County,alameda-county,ca_06001,VARO Oakland Federal Bldg.,Oakland,94612,37.804817,-122.27461,true,510-587-5077,,,,,,,,1301 Clay St.,national-service-officer,7,B3,false,,,
DAV NSO Office - Rancho Cordova,dav-nso-ca-6,service-office-nso,DAV,dav,DAV,world-war-1,World War I,CA,california,,,,Disabled American Veterans,Rancho Cordova,95670,38.56737,-121.30771,true,916-364-6797,,,,,,,,3046 Prospect Park Drive Rm 116,national-service-officer,6,B2,false,,,
DAV NSO Office - San Diego,dav-nso-ca-8,service-office-nso,DAV,dav,DAV,world-war-1,World War I,CA,california,,,,"8620 Spectrum Center Blvd, Suite 629",San Diego,92123,32.776634,-117.1387,true,619-400-5315,,,,,,,,,national-service-officer,8,B6,false,,,
DAV NSO Office - Denver,dav-nso-co-9,service-office-nso,DAV,dav,DAV,world-war-1,World War I,CO,colorado,Arapahoe County,arapahoe-county,co_08005,VA Regional Office,Denver,80225,39.716118,-105.138245,true,303-914-5570,,,,,,,,PO Box 25126,national-service-officer,9,C0,false,,,
DAV NSO Office - Newington,dav-nso-ct-10,service-office-nso,DAV,dav,DAV,world-war-1,World War I,CT,connecticut,,,,VA Regional Office,Newington,06111,41.7,-72.72,true,860-594-6612,,,,,,,,DAV National Service Office,national-service-officer,10,C3,false,,,
DAV NSO Office - Washington,dav-nso-dc-12,service-office-nso,DAV,dav,DAV,world-war-1,World War I,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,VA Regional Office,Washington,20421,38.901188,-77.040855,true,202-530-9260,,,,,,,,"1722 I Street, NW, Rm 210",national-service-officer,12,D0,false,,,
DAV NSO Office - Wilmington,dav-nso-de-11,service-office-nso,DAV,dav,DAV,world-war-1,World War I,DE,delaware,,,,VA Medical & Regional Office Center,Wilmington,19805,39.74024,-75.60687,true,302-994-2511,,,,,,,,"1601 Kirkwood Highway, Bldg 13, Rm 111G",national-service-officer,11,C6,false,,,
DAV NSO Office - Bay Pines,dav-nso-fl-16,service-office-nso,DAV,dav,DAV,world-war-1,World War I,FL,florida,,,,Disabled American Veterans,Bay Pines,33744,27.809397,-82.77676,true,727-319-7444,,,,,,,,VA Regional Office,national-service-officer,16,E0,false,,,
DAV NSO Office - West Palm Beach,dav-nso-fl-19,service-office-nso,DAV,dav,DAV,world-war-1,World War I,FL,florida,,,,WPB VA Medical Center,West Palm Beach,33410,26.786076,-80.11177,true,561-422-8203,,,,,,,,7305 N Military Trail,national-service-officer,19,E7,false,,,
DAV NSO Office - Decatur,dav-nso-ga-20,service-office-nso,DAV,dav,DAV,world-war-1,World War I,GA,georgia,Dekalb County,dekalb-county,ga_13089,VA Regional Office,Decatur,30033,33.8034,-84.31091,true,404-929-5956,,,,,,,,1700 Clairmont Road,national-service-officer,20,F0,false,,,
DAV NSO Office - Honolulu,dav-nso-hi-73,service-office-nso,DAV,dav,DAV,world-war-1,World War I,HI,hawaii,Honolulu County,honolulu-county,hi_15003,"VAMROC, E-Wing",Honolulu,96819,21.361181,-157.88876,true,808-433-0490,,,,,,,,459 Patterson Road,national-service-officer,73,W6,false,,,
DAV NSO Office - Des Moines,dav-nso-ia-24,service-office-nso,DAV,dav,DAV,world-war-1,World War I,IA,iowa,Polk County,polk-county,ia_19153,"VARO, 566 Federal Bldg",Des Moines,50309,41.586372,-93.62012,true,515-323-7539,,,,,,,,210 Walnut Street,national-service-officer,24,G3,false,,,
DAV NSO Office - Boise,dav-nso-id-21,service-office-nso,DAV,dav,DAV,world-war-1,World War I,ID,idaho,Ada County,ada-county,id_16001,VA Regional Office,Boise,83702,43.612633,-116.211075,true,208-429-2140,,,,,,,,444 W. Fort Street Rm. 143,national-service-officer,21,F3,false,,,
DAV NSO Office - Chicago,dav-nso-il-22,service-office-nso,DAV,dav,DAV,world-war-1,World War I,IL,illinois,Cook County,cook-county,il_17031,VA Regional Office,Chicago,60612,41.869286,-87.679184,true,312-980-4242,,,,,,,,"2122 W Taylor Street, Ste 104",national-service-officer,22,F6,false,,,
DAV NSO Office - Indianapolis,dav-nso-in-23,service-office-nso,DAV,dav,DAV,world-war-1,World War I,IN,indiana,Marion County,marion-county,in_18097,VARO Federal Building,Indianapolis,46204,39.77485,-86.15572,true,317-916-3615,,,,,,,,"575 N Pennsylvania St, Rm 324",national-service-officer,23,G0,false,,,
DAV NSO Office - Wichita,dav-nso-ks-25,service-office-nso,DAV,dav,DAV,world-war-1,World War I,KS,kansas,,,,"9111 E. Douglas, Suite 200, Room 210",Wichita,67207,37.692238,-97.33755,true,316-688-6722,,,,,,,,,national-service-officer,25,G6,false,,,
DAV NSO Office - Erlanger,dav-nso-ky-50,service-office-nso,DAV,dav,DAV,world-war-1,World War I,KY,kentucky,Kenton County,kenton-county,ky_21117,DAV National Headquarters,Erlanger,41018,39.03758,-84.596886,true,859-547-3391,,,,,,,,860 Dolwick Drive,national-service-officer,50,O7,false,,,
DAV NSO Office - Louisville,dav-nso-ky-26,service-office-nso,DAV,dav,DAV,world-war-1,World War I,KY,kentucky,Jefferson County,jefferson-county,ky_21111,"VA Regional Office, Suite 390",Louisville,40202,38.256622,-85.755615,true,502-566-4482,,,,,,,,"321 West Main Street, Rm 322",national-service-officer,26,H0,false,,,
DAV NSO Office - New Orleans,dav-nso-la-27,service-office-nso,DAV,dav,DAV,world-war-1,World War I,LA,louisiana,Orleans Parish,orleans-parish,la_22071,VA Regional Office,New Orleans,70113,29.951065,-90.07153,true,504-619-4350,,,,,,,,"1250 Poydras St, Room 200",national-service-officer,27,H6,false,,,
DAV NSO Office - Boston,dav-nso-ma-31,service-office-nso,DAV,dav,DAV,world-war-1,World War I,MA,massachusetts,Suffolk County,suffolk-county,ma_25025,VA Regional Office,Boston,02203,42.361435,-71.059364,true,617-303-5675,,,,,,,,"JFK Fed Bldg, Government Ctr",national-service-officer,31,J0,false,,,
DAV NSO Office - Baltimore,dav-nso-md-29,service-office-nso,DAV,dav,DAV,world-war-1,World War I,MD,maryland,Baltimore city,baltimore-city,md_24510,Disabled American Veterans (DAV),Baltimore,21201,39.28837,-76.6167,true,410-230-4440,,,,,,,,"31 Hopkins Pl, Suite G607",national-service-officer,29,I3,false,,,
DAV NSO Office - Augusta,dav-nso-me-28,service-office-nso,DAV,dav,DAV,world-war-1,World War I,ME,maine,Kennebec County,kennebec-county,me_23011,VARO - Medical Center,Augusta,04330,44.286053,-69.69861,true,207-623-5725,,,,,,,,P.O. Box 3151,national-service-officer,28,I0,false,,,
