title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,status,last_verified
Disabled American Veterans Department of Blind Veterans National,dav_bvn_unknown,state,DAV,dav,DAV,world-war-1,World War I,,,,,bvn_unknown,,,,,,false,,,,,,,,,,,
Disabled American Veterans Department of State Commanders and Adjutants Association,dav_scaa_unknown,state,DAV,dav,DAV,world-war-1,World War I,,,,,scaa_unknown,,,,,,false,,,,,,,,,,,
Disabled American Veterans Department of Alaska,dav_ak_02020,state,DAV,dav,DAV,world-war-1,World War I,AK,alaska,Anchorage Municipality,anchorage-municipality,ak_02020,"1201 N Muldoon Rd, Room 2A210",Anchorage,99504,,,false,907-257-4803,,https://davwebsites.dav.org/ak/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Alabama,dav_al_01101,state,DAV,dav,DAV,world-war-1,World War I,AL,alabama,Montgomery County,montgomery-county,al_01101,"345 Perry Hill Rd, Rm 1-116",Montgomery,36109,,,false,334-213-3365,,https://davwebsites.dav.org/al/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Arkansas,dav_ar_unknown,state,DAV,dav,DAV,world-war-1,World War I,AR,arkansas,,,ar_unknown,2200 Fort Roots Drive,N. Little Rock,72114,,,false,501-370-3838,,https://davwebsites.dav.org/ar/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Arizona,dav_az_04013,state,DAV,dav,DAV,world-war-1,World War I,AZ,arizona,Maricopa County,maricopa-county,az_04013,"3333 N. Central Ave., Ste 1053",Phoenix,85012,,,false,602-627-3286,Adjutant@az-dav.org,https://davwebsites.dav.org/az/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of California,dav_ca_06037,state,DAV,dav,DAV,world-war-1,World War I,CA,california,Los Angeles County,los-angeles-county,ca_06037,"11000 Wilshire Blvd., Rm. 509",Los Angeles,90024,,,false,310-235-6472,,https://davwebsites.dav.org/ca/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Colorado,dav_co_08005,state,DAV,dav,DAV,world-war-1,World War I,CO,colorado,Arapahoe County,arapahoe-county,co_08005,,Denver,80225,,,false,303-914-5570,,https://davwebsites.dav.org/co/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of Connecticut,dav_ct_09009,state,DAV,dav,DAV,world-war-1,World War I,CT,connecticut,New Haven County,new-haven-county,ct_09009,Willard Ave,Newington,06111,,,false,860-594-6612,,https://davwebsites.dav.org/ct/SystemPages/Home.aspx,,,,,,,,
Disabled American Veterans Department of District of Columbia,dav_dc_11001,state,DAV,dav,DAV,world-war-1,World War I,DC,district-of-columbia,District of Columbia,district-of-columbia,dc_11001,,Washington,20421,,,false,202-530-9260,,https://davwebsites.dav.org/dc/SystemPages/Home.aspx,,,,,,,,
