title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,post_number
Allan Ray Chaffin #1329,mcl-det-1329-al,local,Det 1329,mcl_al_01101,MCL,world-war-1,,AL,alabama,Etowah County,,al_01055,Calhoun County Civil Defense Bldg 4510 Bynum Leatherwood Rd,Anniston,36206,33.811354,-85.77276,True,256-238-3448,ronnyrichey@gmail.com,,1329
Billy Stelpflug #1064,mcl-det-1064-al,local,Det 1064,mcl_al_01101,MCL,world-war-1,,AL,alabama,Macon County,,al_01087,Clubhouse at Legends,41 Lee Rd Auburn,36832,32.60835,-85.466363,True,334-703-0047,gsenic@bellsouth.net,,1064
Brandon-Wilbourn #820,mcl-det-820-al,local,Det 820,mcl_al_01101,MCL,world-war-1,,AL,alabama,Madison County,,al_01089,Tim's Cajun Kitchen,114 Jordan Lane NW,,34.723269,-86.5786,True,256-881-2852,earlhokanson@comcast.net,,820
Cpl Joseph Whitehead #1370,mcl-det-1370-al,local,Det 1370,mcl_al_01101,MCL,world-war-1,,AL,alabama,Baldwin County,,al_01003,American Legion Post 99: 2101 S McKenzie St,Foley,36535,30.373056,-87.673714,True,251-609-0607,crpaul@hotmail.com,,1370
Cpl. Matthew D Conley #1477,mcl-det-1477-al,local,Det 1477,mcl_al_01101,MCL,world-war-1,,AL,alabama,Colbert County,,al_01033,' The Pound' 215 S Montgomery Ave,Sheffield,35660,34.79812,-87.67479,True,256-433-6779,Ivy85433@gmail.com,,1477
Howlin 'Mad' Smith #592,mcl-det-592-al,local,Det 592,mcl_al_01101,MCL,world-war-1,,AL,alabama,Jefferson County,,al_01073,American Legion Post 255 1834 Carson Road,Birmingham,35217,33.571906,-86.721671,True,205-861-6068,talktojanna@gmail.com,,592
Jesse Andrews Jr #1378,mcl-det-1378-al,local,Det 1378,mcl_al_01101,MCL,world-war-1,,AL,alabama,Baldwin County,,al_01003,Beef O Brady's: 8495 Spanish Fort Blvd,Spanish Fort,36527,30.673595,-87.877681,True,251-454-0004,lew.thomas@att.com,,1378
Johnny M Spann #1272,mcl-det-1272-al,local,Det 1272,mcl_al_01101,MCL,world-war-1,,AL,alabama,Bibb County,,al_01007,,,,33.245475,-87.554304,True,205-331-9361,whmlb@netscape.net,,1272
L/Cpl Jonathan L Smith #1427,mcl-det-1427-al,local,Det 1427,mcl_al_01101,MCL,world-war-1,,AL,alabama,Morgan County,,al_01103,American Legion Post 51: 2607 US 31 S,Decatur,35603,34.558751,-86.974947,True,2564768797,rayg1969@gmail.com,,1427
LtGen Victor 'Brute' Krulak #1415,mcl-det-1415-al,local,Det 1415,mcl_al_01101,MCL,world-war-1,,AL,alabama,Jefferson County,,al_01073,1561 Montgomery Hwy,Hoover,35216,33.404299,-86.80562,True,205-966-3185,0341els69@gmail.com,,1415
McLaughlin #1091,mcl-det-1091-al,local,Det 1091,mcl_al_01101,MCL,world-war-1,,AL,alabama,St. Clair County,,al_01115,FOP Lodge 300 6th St S,E Gadsden AL 35903,,34.022912,-86.049572,True,256-390-5425,mccaryusmc@hotmail.com,,1091
N E Alabama #1404,mcl-det-1404-al,local,Det 1404,mcl_al_01101,MCL,world-war-1,,AL,alabama,Dekalb County,,al_01049,659 A Wallace Ave NE,Fort Payne,35967,34.442424,-85.71283,True,813-317-6183,jdm_dlm@hotmail.com,,1404
P L Wilson #447,mcl-det-447-al,local,Det 447,mcl_al_01101,MCL,world-war-1,,AL,alabama,Mobile County,,al_01097,American Legion Post 88,2663 Halls Mill Rd,,30.652428,-88.105292,True,251-767-8489,tclaxton73@gmail.com,,447
Sgt Foster L. Harrington #1449,mcl-det-1449-al,local,Det 1449,mcl_al_01101,MCL,world-war-1,,AL,alabama,Mobile County,,al_01097,Kravers Seafood Restaurant 2368 Leroy Stevens Rd,Mobile,,30.615628,-88.344161,True,251-366-1442,jermainepayne37@gmail.com,,1449
Townsend #920,mcl-det-920-al,local,Det 920,mcl_al_01101,MCL,world-war-1,,AL,alabama,Montgomery County,,al_01101,Sinclair's East 7847 Vaughn Rd,Montgomery,36117,32.378912,-86.296228,True,334-819-9090,bmaw2020@hotmail.com,,920
Wiregrass #752,mcl-det-752-al,local,Det 752,mcl_al_01101,MCL,world-war-1,,AL,alabama,Houston County,,al_01069,VFW Post 3073,1426 Taylor Road,,31.239638,-85.430404,True,850-748-2626,brad.r.seaver@gmail.com,,752
Dale W Langford #1323,mcl-det-1323-ar,local,Det 1323,mcl_ar_05119,MCL,world-war-1,,AR,arkansas,Faulkner County,,ar_05045,DAV Hall: 1490 S. Donaghey Ave,Conway,72034,35.109556,-92.453925,True,501-425-6516,chris4032020@gmail.com,,1323
Herbert A Littleton #1261,mcl-det-1261-ar,local,Det 1261,mcl_ar_05119,MCL,world-war-1,,AR,arkansas,Polk County,,ar_05113,American Legion Hall,3253 Hwy 71 N,,34.568428,-94.255027,True,281-387-0400,hlittleton1261@gmail.com,,1261
Lake Dardanelle #1310,mcl-det-1310-ar,local,Det 1310,mcl_ar_05119,MCL,world-war-1,,AR,arkansas,Pope County,,ar_05115,311 Chesty Puller Dr,Russellville,72801,35.276228,-93.13629,True,479-857-9663,larrymars1947@gmail.com,,1310
